Bislama2	Oce_Van_Bislama_Acc
Batarxopulumsak	Oce_Van_Mal_Int_Nth_Batarxopu_Lumsak_Dl
Batarxopulembilmbil	Oce_Van_Mal_Int_Nth_Batarxopu_Lembilmbil_Dl
Batarxopubenut	Oce_Van_Mal_Int_Nth_Batarxopu_Benut_Dl
Sivitinjavwomol	Oce_Van_Mal_Int_Nth_Njav_Womol_Dl
Sivitinjavgonwar	Oce_Van_Mal_Int_Nth_Njav_Gonwar_Dl
Sivitinjavjericho	Oce_Van_Mal_Int_Nth_Njav_Jericho_Dl
Sivitinjavtanmililib2	Oce_Van_Mal_Int_Nth_Njav_Tanmililib2_Dl
Sivitinjavtanmililib	Oce_Van_Mal_Int_Nth_Njav_Tanmililib_Dl
Letemboinatingatlang	Oce_Van_Mal_Int_Sth_Letemboi_Natingatlang_Dl
Letemboiaingelemolesa	Oce_Van_Mal_Int_Sth_Letemboi_Aingelemolesa_Dl
Letemboinewotenyene	Oce_Van_Mal_Int_Sth_Letemboi_Newotenyene_Dl
Letemboinevatanyene	Oce_Van_Mal_Int_Sth_Letemboi_Nevatanyene_Dl
Navwienmbonvor	Oce_Van_Mal_Int_Sth_Navwien_Vimat_Dl
Nasvangbigisland	Oce_Van_Mal_Int_Sth_Nasvang_Pimmilis_Dl
Nasvangfarun	Oce_Van_Mal_Int_Sth_Nasvang_Farun_Dl
Natanganmbonvor	Oce_Van_Mal_Int_Sth_Natangan_Mbonvor_Dl
Avavakhatbol	Oce_Van_Mal_Mlt_Avava_Khatbol_Dl
Avavatisvel	Oce_Van_Mal_Mlt_Avava_Tisvel_Dl
Salangdixonreef	Oce_Van_Mal_Mlt_Avava_Salang_Dl
Bangaasaktaremb	Oce_Van_Mal_Mlt_Avava_Bangaasak_Dl
Nombotkoteneioleian	Oce_Van_Mal_Mlt_Nombotkote_Neioleian_Dl
Nombotkoteblacksands	Oce_Van_Mal_Mlt_Nombotkote_Blacksands_Dl
Nombotkotemelkin	Oce_Van_Mal_Mlt_Nombotkote_Melkin_Dl
Ragaloltongbay	Oce_Van_Pent_North_Raga_LoltongBay_Dl
Ragalolkasai	Oce_Van_Pent_North_Raga_Lolkasai_Dl
Safrangusuksu	Oce_Van_Pent_South_Sa_F_Rangusuksu_Dl
Safponof	Oce_Van_Pent_South_Sa_F_Ponof_Dl
Sageneral	Oce_Van_Pent_South_Sa_General_Dl
Safyangtus	Oce_Van_Pent_South_Sa_F_Yangtus_Dl
Sapaangi	Oce_Van_Pent_South_Sa_Paangi_Dl
Sabunlap	Oce_Van_Pent_South_Sa_Bunlap_Dl
Saranwas	Oce_Van_Pent_South_Sa_Ranwas_Dl
Sahaa	Oce_Van_Pent_South_Sa_Haa_Dl
