Nisvaiblacksands,English Translation
ᵑga-kɪkɪʧɪn,117_green
-iaŋiaŋ,118_yellow
ᵑga-lamb,119_big
ᵑga-ᵐbɪsal,120_small
ᵑga-savi,121_sharp
mas-mankan,122_bluntdull
ᵑga-mɪman,123_shyashamed
-ɣɛvor,124_old
ᵑga-mɪsax,125_painfulsick
ᵑga-vuʰ,126_good
ᵑga-samp,127_bad
ᵑga-lamlam,128_correcttrue
ma-mɛrmɛr,129_dirty
na-moⁿdʳ,130_rotten
ᵑga-miɸ,131_heavy
-ursao,132_far
-pɪt͡saŋ,133_near
ᵑga-mɛlaras,134_cold
ᵑga-mimɪs,135_dry
ᵑga-mʊt͡smʊt͡s,136_wet
ᵑga-vuvuʰ,137_new
ka-mai,139_come
ka-vanvan,140_walk
ᵑga-tɪlaŋ,141_stand
ᵑga-somb,142_sit
ᵑga-ⁿdum,143_fall
ᵑga-tɪtimaⁿdʳβai,144_liedown
ko-sani,145_turn
ᵑga-zax,146_climb
-gaŋar,147_swim
ᵑga-svox,148_flyverb
ᵑga-ᵐbilɣani,149_throw
ᵑga-suani,150_hide
ka-nɪn,151_eat
ᵑga-mun,152_drink
ᵑga-malol,153_yawn
ka-prai,154_spit
na-ᵐbure,155_dream
ka-pat͡s,156_sleep
ma-maur,157_live
ma-mat͡s,158_die
ᵑga-tams-i-ᵐbuni,159_kill
ka-lsi,160_see
toni,161_hear
ka-muⁿʒi,162_sniffsmell
ᵑga-mɪn,163_laugh
ᵑga-ran,164_cry
-ᵐbʷɪlᵐbʷɪl,165_blow
ᵑga-paŋ,166_burn
ᵑga-saⁿdri,167_sew
ᵑga-tamtamsi,168_pound
ᵑga-tamsi,169_hit
ᵑga-t͡savi,170_cut
ᵑga-t͡saprai,171_split
-viʧi,172_dig
ᵑga-kao,173_hunt
ᵑga-tiŋau,174_hold
mrax,175_fear
ka-pe,176_count
pərvɪn-laŋ,177_breathe
ᵑga-lu,178_vomit
ᵑga-ᵐbansi,179_tieup
ᵑga-ranvi,180_squeeze
ᵑga-tumb,181_swell
ᵑga-kali,182_say
ᵑga-garumi,183_scratch
ᵑga-ruri,184_stab
ᵑga-vuli,185_buy
ᵑga-vɪnax,186_steal
ᵑga-lumʷi,187_plant
ᵑga-panun,188_cook
ᵑga-vini,189_shoot
ᵑga-ᵑgas,190_work
ᵑga-ʧɪŋavuni,191_open
