Nasarianwileven,English Translation
ɛvɛlɛᵐbus_neimʊt,130_rotten
i-mɛmaβɛ,131_heavy
-lakʰ,132_far
taga-saŋame,133_near
hɛ-mɛlaɣa,134_cold
hi-mɛsɛmaze,135_dry
i-wowara,136_wet
i-vovo,137_new
huᵐbu-volɛʰ,139_come
hɛtᵐbu-laŋə,140_walk
huᵐbə-tɛre,141_stand
humᵐbə-sɪᵐbʷa,142_sit
hup-mone,143_fall
hup-mʷonɛ_tɛnawat,144_liedown
huᵐb-drɔŋoɔ,145_turn
huᵐbi-akʰ,146_climb
hoᵑgo-ᵑgarɛ,149_throw
ol-mʷolmʷokʰ,150_hide
-tautau,151_eat
tɛt-mɪn,152_drink
ho-βovorai,154_spit
-mʷonɛ-lɛs,155_dream
-mʷonɛ,156_sleep
i-maor,157_live
i-mas,158_die
huᵐb-ravus-ᵐbin,159_kill
naga-raŋə,161_hear
ho-βsɪŋal,163_laugh
hɛtᵐbo-rate,164_cry
i-rap˺,165_blow
hu-ᵐbul,166_burn
hal-tr,167_sew
hoᵐbu-rovʊs,168_pound
tetᵐb-ravus,169_hit
huᵐbu-karɛs,170_cut
huᵐbə-tɛraᵐbulɛ,171_split
huᵐbu-gl,172_dig
tet-ᵑgoragara,173_hunt
ho-βorɪndau,174_hold
-mɛtakʰ,175_fear
huᵐbu-ᵐbuluŋ,176_count
huᵐbu-ᵑgarɛ,177_breathe
i-lualua,178_vomit
hopʊ-gɛɾe,179_tieup
huᵐb-ᵐbus,180_squeeze
i-laᵐbɛ,181_swell
huᵐb-sɛre,182_say
huᵐβu-gar,183_scratch
hɛtᵐb-iaga,184_stab
hoᵐvu-ᵐvuluk,185_buy
huᵐbu-govokʰ,187_plant
hɪᵐbu-lukoa,189_shoot
huᵐba-raˑkʰ,190_work
hoᵐbu-lul,191_open
