ID,phonetic_transcriptions,recording,sound_editing,Language_ID
Nsungwadiatasmaor,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Nsungwadiatasmaor
Nsungwadiauta,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Nsungwadiauta
Pangkumudatisman,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Pangkumudatisman
Pangkumundarmif,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Pangkumundarmif
Portsandwichlamap,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Portsandwichlamap
Portsandwichmerivar,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Portsandwichmerivar
Ragalolkasai,Lana Takau,Marie-France Duhamel,Lana Takau and Daria Dermaku,Ragalolkasai
Ragaloltongbay,Lana Takau,Marie-France Duhamel,Lana Takau and Daria Dermaku,Ragaloltongbay
Ranochinambong,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Ranochinambong
Ranopotora,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Ranopotora
Ranotwalung,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Ranotwalung
Sabunlap,Lana Takau,Tom Fitzpatrick,Lana Takau and Daria Dermaku,Sabunlap
Safponof,Lana Takau,Tom Fitzpatrick,Lana Takau and Daria Dermaku,Safponof
Safrangusuksu,Lana Takau,Tom Fitzpatrick,Lana Takau and Daria Dermaku,Safrangusuksu
Safyangtus,Lana Takau,Tom Fitzpatrick,Lana Takau and Daria Dermaku,Safyangtus
Sageneral,Lana Takau,Tom Fitzpatrick,Lana Takau and Daria Dermaku,Sageneral
Sahaa,Lana Takau,Tom Fitzpatrick,Lana Takau and Daria Dermaku,Sahaa
Salangdixonreef,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Salangdixonreef
Sapaangi,Lana Takau,Tom Fitzpatrick,Lana Takau and Daria Dermaku,Sapaangi
Saranwas,Lana Takau,Tom Fitzpatrick,Lana Takau and Daria Dermaku,Saranwas
Sbiribiri,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Sbiribiri
Sivitinjavgonwar,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Sivitinjavgonwar
Sivitinjavjericho,Aviva Shimelman and Lana Takau,Aviva Shimelman and Lana Takau,Laura Wägerle and Lana Takau,Sivitinjavjericho
Sivitinjavtanmililib,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Sivitinjavtanmililib
Sivitinjavtanmililib2,Aviva Shimelman and Lana Takau,Aviva Shimelman and Lana Takau,Laura Wägerle and Lana Takau,Sivitinjavtanmililib2
Sivitinjavwomol,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Sivitinjavwomol
Slolovele,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Slolovele
Sragaavavanvae,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Sragaavavanvae
Ssakao,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ssakao
Ssungagageasanvari,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ssungagageasanvari
Ssungagageavanbatai,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ssungagageavanbatai
Ssungagageavavanvae,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ssungagageavavanvae
