ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,LongName,IsProto,Island
Espiegelsbayunspecified,Espiegel’s Bay: Unspecified,malu1245,Malua Bay,mll,Papunesia,-15.98228,167.19103,Austronesian,,False,Malekula
Evuindondo,E: Vuindondo,east2443,East Ambae,omb,Papunesia,-15.30571,167.971219,Austronesian,Ambae:  East:  Vuindondo,False,Ambae
Fiftikhatbol,Fifti: Khatbol,vivt1234,Vivti,,Papunesia,-16.18053,167.5316,Austronesian,,False,Malekula
Fiftimalmbor,Fifti: Malmbor,vivt1234,Vivti,,Papunesia,-16.2813,167.51228,Austronesian,,False,Malekula
Hano,Hano,hano1246,Hano,lml,Papunesia,-15.612233,168.183567,Austronesian,,False,Pentecost
Jakena,Jakena,,,,Papunesia,-16.677200,168.240933,Austronesian,,False,Epi
Jarailan,Jarailan,,,,,-15.531899,166.990561,Austronesian,,False,Santo
Kerepua,Kerepua,wusi1237,Kula (Vanuatu),wsi,Papunesia,-15.301631,166.665183,Austronesian,,False,Santo
Kitano,Kitano,,,,,-15.424489,166.691497,Austronesian,,False,Santo
Lamanbay,Laman Bay,lewo1242,,,Papunesia,-16.677200,168.240933,Austronesian,,False,Epi
Larevatfwishile,Larevat: Fwishile,lare1249,Larevat,lrv,Papunesia,-16.17351,167.37147,Austronesian,,False,Malekula
Larevatlarevat,Larevat: Larevat,lare1249,Larevat,lrv,Papunesia,-16.17464,167.37145,Austronesian,,False,Malekula
Larevatmosox,Larevat: Mosox,lare1249,Larevat,lrv,Papunesia,-16.17628,167.37023,Austronesian,,False,Malekula
Lepa,Lepa,,,,Papunesia,-16.690833,168.294617,Austronesian,,False,Epi
Letemboiaingelemolesa,Letemboi: Aingelemolesa,lete1241,Letemboi-Repanbitip,nms,Papunesia,-16.41806,167.5847,Austronesian,,False,Malekula
Letemboinatingatlang,Letemboi: Natingatlang,lete1241,Letemboi-Repanbitip,nms,Papunesia,-16.40056,167.6178,Austronesian,,False,Malekula
Letemboinevatanyene,Letemboi: Nevatanyene,lete1241,Letemboi-Repanbitip,nms,Papunesia,-16.434,167.567,Austronesian,,False,Malekula
Letemboinewotenyene,Letemboi: Newotenyene,lete1241,Letemboi-Repanbitip,nms,Papunesia,-16.2667,167.536,Austronesian,,False,Malekula
Linduri,Linduri,navu1237,Navut,nsw,Papunesia,-15.389627,166.648496,Austronesian,,False,Santo
Lopalis,Lopalis,,,,Papunesia,-16.77688526609511,168.3658916504161,Austronesian,,False,Epi
Lopika,Lopika,,,,Papunesia,-16.790367,168.400217,Austronesian,,False,Epi
Maluabaycoast,Malua Bay: Coast,malu1245,Malua Bay,mll,,-15.98334,167.18798,Austronesian,,False,Malekula
Maluabaymarasup,Malua Bay: Marasup,malu1245,Malua Bay,mll,Papunesia,-15.99098,167.2198,Austronesian,,False,Malekula
Maluabaypetarmul,Malua Bay: Petarmul,malu1245,Malua Bay,mll,Papunesia,-16.00022,167.22137,Austronesian,,False,Malekula
Maluabaytiptir,Malua Bay: Tiptir,malu1245,Malua Bay,mll,Papunesia,-15.9905,167.21991,Austronesian,,False,Malekula
Mandrifaru,Mandri: Faru,nisv1234,Nisvai,,Papunesia,-16.52147,167.71586,Austronesian,,False,Malekula
Mandrifarun,Mandri: Farun,nisv1234,Nisvai,,Papunesia,-16.50111,167.63972,Austronesian,,False,Malekula
Mangalava,Silucian Onak: Mangalava,paam1238,,,Papunesia,-16.685417,168.2738,Austronesian,,False,Epi
Marapahu,Marapahu,lewo1242,,,Papunesia,-16.607617,168.203467,Austronesian,,False,Epi
Markam,Markam,,,,Papunesia,-16.184132,167.465186,Austronesian,,False,Malekula
Matewan,Mate wan,,,,Papunesia,-16.681600,168.288767,Austronesian,,False,Epi
Moriu,Moriu,lewo1242,,,Papunesia,-16.592583,168.168083,Austronesian,,False,Epi
Moso,Buninga: Moso,buni1246,,,Papunesia,-17.529011534438972,168.28918755548693,Austronesian,,False,Moso
Naahaimbatvanui,Na’ahai: Mbatvanui,malf1237,Na'ahai,mlx,Papunesia,-16.53056,167.57778,Austronesian,,False,Malekula
Naahaitoman,Na’ahai: Toman,malf1237,Na'ahai,mlx,Papunesia,-16.58306,167.47306,Austronesian,,False,Malekula
Naatiwindua,Naati: Windua,nati1244,Nati,,Papunesia,-16.50139,167.49372,Austronesian,,False,Malekula
Nahaaimalfaxal,Naha’ai: Malfaxal,malf1237,Na'ahai,mfl,Papunesia,-16.55216,167.56539,Austronesian,,False,Malekula
Nahaaimbatmbang,Naha’ai: Mbatmbang,malf1237,Na'ahai,mfl,Papunesia,-16.56778,167.53083,Austronesian,,False,Malekula
Nahavaqbanour,Nahavaq: Banour,sout2857,Nahavaq,sns,Papunesia,-16.49503,167.4187,Austronesian,,False,Malekula
Nahavaqcarolinebay,Nahavaq: Caroline Bay,sout2857,Nahavaq,sns,Papunesia,-16.56268,167.46,Austronesian,,False,Malekula
Nahavaqlembinwin,Nahavaq: Lembinwin,sout2857,Nahavaq,sns,Papunesia,-16.499,167.4328,Austronesian,,False,Malekula
Nahavaqloorndavo,Nahavaq: Loorndavo,sout2857,Nahavaq,sns,Papunesia,-16.52763,167.44872,Austronesian,,False,Malekula
Najittanmial,Najit: Tanmial,,,,,-15.94786,167.18226,,,False,Malekula
Nakanamangasesake,Nakanamanga: Sesake,sesa1243,,,Papunesia,-17.04250452667725,168.39188512310602,Austronesian,,False,Emae
Nalema,Nalema,,,,Papunesia,-16.835467,168.464150,Austronesian,,False,Epi
Namakirsangava,Namakir: Sangava,nama1268,,,Papunesia,-17.070778072932043,168.38403852307852,Austronesian,,False,Emae
Namanlitzlitz,Naman (Litzlitz),litz1237,Naman,lzl,Papunesia,-16.10139,167.3847,Austronesian,,False,Malekula
Narango,Narango,nara1263,Narango,nrg,Papunesia,-15.549431,166.997278,Austronesian,,False,Santo
Nasarianngava,Nasarian: Ngava,nasa1240,Nasarian,nvh,Papunesia,-16.25313,167.51643,Austronesian,,False,Malekula
Nasarianwileven,Nasarian: Wileven,nasa1240,Nasarian,nvh,Papunesia,-16.38333,167.4681,Austronesian,,False,Malekula
Nasvangbigisland,Nasvang: Big Island,navw1234,Navwien,,Papunesia,-16.44294,167.67644,Austronesian,,False,Malekula
Nasvangfarun,Nasvang: Farun,nasv1234,Nasvang,,Papunesia,-16.51167,167.63944,Austronesian,,False,Malekula
Natanganmbonvor,Natangan: Mbonvor,,,,,-16.53089,167.57531,,,False,Malekula
Navwienmbonvor,Navwien: Mbonvor,lete1241,Letemboi-Repanbitip,nms,Papunesia,-16.4161,167.6535,Austronesian,,False,Malekula
Nese,Nese,nese1235,Nese,,Papunesia,-15.9305,167.17653,Austronesian,,False,Malekula
Nesesanboise,Nese: Sanboise,nese1235,Nese,,Papunesia,-15.91461,167.17833,Austronesian,,False,Malekula
Nesetanmial,Nese: Tanmial,nese1235,Nese,,Papunesia,-15.9305,167.17653,Austronesian,,False,Malekula
Netimbbangir,Netimb: Bangir,aulu1238,Aulua,aul,Papunesia,-16.37936,167.66783,Austronesian,,False,Malekula
Neveeicoast,Neve’ei: Coast,vinm1237,Neve'ei,vnm,Papunesia,-16.22942,167.38365,Austronesian,,False,Malekula
Neveeivinmavis1,Neve’ei: Vinmavis 1,vinm1237,Neve'ei,vnm,Papunesia,-16.27169,167.39957,Austronesian,Neve’ei:  Vinmavis  (speaker 1),False,Malekula
Neveeivinmavis2,Neve’ei: Vinmavis 2,vinm1237,Neve'ei,vnm,Papunesia,-16.2291,167.3981,Austronesian,Neve’ei:  Vinmavis  (speaker 2),False,Malekula
Neververlimap,Neverver: Limap,ling1265,Neverver,lgk,Papunesia,-16.21749,167.53351,Austronesian,,False,Malekula
Neververmindu,Neverver: Mindu,ling1265,Neverver,lgk,Papunesia,-16.17437,167.474,Austronesian,,False,Malekula
Neverversakan,Neverver: Sakan,ling1265,Neverver,lgk,Papunesia,-16.175,167.475,Austronesian,,False,Malekula
Ngatataremb,Ngata: Taremb,,,,,-16.26154,167.51544,,,False,Malekula
Ngevin,Ngevin,,,,Papunesia,-16.616025,168.213083,Austronesian,,False,Epi
Nhavailombaha,N: Havai: Lombaha,lomb1262,Lombaha,omb,Papunesia,-15.31659,167.81886,Austronesian,Ambae:  North:  Havai:  Lombaha,False,Ambae
Niku,Niku,lewo1242,,,Papunesia,-16.5918242,168.1910836,Austronesian,,False,Epi
Nindelabo,Ninde: Labo,labo1244,Ninde,mwi,Papunesia,-16.45523,167.4384,Austronesian,,False,Malekula
Nindelawa,Ninde: Lawa,labo1244,Ninde,mwi,Papunesia,-16.44484,167.42897,Austronesian,,False,Malekula
Nindeopmobamba,Ninde: Opmobamba,labo1244,Ninde,mwi,Papunesia,-16.435,167.4189,Austronesian,,False,Malekula
Nindesouthwestbay,Ninde: Southwest Bay,labo1244,Ninde,mwi,Papunesia,-16.48255,167.44635,Austronesian,,False,Malekula
Nindewindua,Ninde: Windua,labo1244,Ninde,mwi,Papunesia,-16.48302,167.4478,Austronesian,,False,Malekula
Nisvaiblacksands,Nisvai: Blacksands,nisv1234,Nisvai,,Papunesia,-16.38847,167.78301,Austronesian,,False,Malekula
Nisvaironevie,Nisvai: Ronevie,nisv1234,Nisvai,,Papunesia,-16.41306,167.78556,Austronesian,,False,Malekula
Nititakhatbol,Nitita: Khatbol,niti1249,Nitita,,Papunesia,-16.18053,167.5316,Austronesian,,False,Malekula
Nivenuhe,Nivenuhe,lewo1242,,,Papunesia,-16.620650,168.223583,Austronesian,,False,Epi
Nkep,Nkep,hogh1234,Nkep,,Papunesia,-15.143113,167.10477,Austronesian,,False,Santo
Nleonda,N: Leonda,amba1270,Ambae,omb,,-15.314,167.852877,Austronesian,Ambae:  North:  Leonda:  Ngwetangwele,False,Ambae
Nleovandue,N: Leõ: Vandue,amba1270,Ambae,omb,,-15.31851,167.820332,Austronesian,Ambae:  North:  Leõ:  Vandue,False,Ambae
Nmwerlap,N: Mwerlap,mari1426,Sunwadia,mrb,Papunesia,-14.96984,168.058964,Austronesian,Maewo:  North:  Sungwadia/Mwerlap:  Marino,False,Maewo
Nokuku,Nokuku,noku1237,Nokuku,nkk,Papunesia,-14.9,166.6,Austronesian,,False,Santo
Nombotkoteblacksands,Nombotkote: Blacksands,lete1241,Letemboi-Repanbitip,nms,Papunesia,-16.32063,167.44212,Austronesian,,False,Malekula
Nombotkotemelkin,Nombotkote: Melkin,lete1241,Letemboi-Repanbitip,nms,Papunesia,-16.32806,167.59949,Austronesian,,False,Malekula
Nombotkoteneioleian,Nombotkote: Neioleian,lete1241,Letemboi-Repanbitip,nms,Papunesia,-16.48428,167.54336,Austronesian,,False,Malekula
Nouvi,Nouvi,lewo1242,,,Papunesia,-16.652667,168.239833,Austronesian,,False,Epi
Novolbangir,Novol: Bangir,dixo1238,Dixon Reef,,Papunesia,-16.29424,167.66802,Austronesian,,False,Malekula
Novoldixonreef,Novol: Dixon Reef,dixo1238,Dixon Reef,,Papunesia,-16.34747,167.37749,Austronesian,,False,Malekula
Novoltavendrua,Novol: Tavendrua,dixo1238,Dixon Reef,,Papunesia,-16.34446,167.38392,Austronesian,,False,Malekula
Nsungwadianaone,N: Sungwadia: Naone,mari1426,Sunwadia,mrb,Papunesia,-15.01508,168.066583,Austronesian,Maewo:  North:  Sungwadia/Tanurik:  Naone,False,Maewo
Nsungwadianaumumu,N: Sungwadia: Naumumu,mari1426,Sunwadia,mrb,Papunesia,-14.93637,168.053014,Austronesian,Maewo:  North:  Sungwadia:  Naumumu,False,Maewo
Nsungwadiatasmaor,N: Sungwadia: Tasmaor,mari1426,Sunwadia,mrb,Papunesia,-14.93637,168.053014,Austronesian,Maewo:  North:  Sungwadia/Tasmaor:  Naumumu,False,Maewo
Nsungwadiauta,N: Sungwadia: Uta,mari1426,Sunwadia,mrb,Papunesia,-14.97184,168.0573,Austronesian,Maewo:  North:  Sungwadia/Uta:  Marino,False,Maewo
Nulnesa,Nulnesa,tasi1237,,,Papunesia,-16.76085,168.35,Austronesian,,False,Epi
Oreao,Oreao,tasi1237,,,Papunesia,-16.7948799,168.3804409,Austronesian,,False,Epi
Panas,Panas,,,,,-15.268652,166.807076,Austronesian,,False,Santo
Pangkumudatisman,Pangkumu: Datisman,rere1240,Rerep,pgk,Papunesia,-16.28244,167.6626,Austronesian,,False,Malekula
Pangkumundarmif,Pangkumu: Ndarmif,rere1240,Rerep,pgk,Papunesia,-16.28389,167.6669,Austronesian,,False,Malekula
Penour,Penour,,,,,-14.99,166.607474,Austronesian,,False,Santo
Petawata,Petawata,,,,,-15.013104,166.61194,Austronesian,,False,Santo
Petel,Petel,,,,,-15.040825,166.786985,Austronesian,,False,Santo
Piamatsina,Piamatsina,piam1242,Piamatsina,ptr,Papunesia,-14.925565,166.780513,Austronesian,,False,Santo
Portsandwichlamap,Port Sandwich: Lamap,port1285,Port Sandwich,psw,Papunesia,-16.425,167.805,Austronesian,,False,Malekula
Portsandwichmerivar,Port Sandwich: Merivar,port1285,Port Sandwich,psw,Papunesia,-16.428,167.808,Austronesian,,False,Malekula
Ragalolkasai,Raga: Lolkasai,,,,,-15.58444,168.19111,,Raga:  Lolkasai,False,Pentecost
Ragaloltongbay,Raga: Loltong Bay,,,,,-15.54889,168.14889,,Raga:  Loltong Bay,False,Pentecost
Ragawansa,Raga: Wansa,hano1246,,,Papunesia,-15.612233,168.183567,Austronesian,,False,Pentecost
Ranochinambong,Rano: Chinambong,wala1267,Wala-Rano,upv,Papunesia,-15.99049,167.39063,Austronesian,,False,Malekula
Ranopotora,Rano: Potora,wala1267,Wala-Rano,upv,Papunesia,-15.98472,167.3866,Austronesian,,False,Malekula
Ranotwalung,Rano: Twalung,wala1267,Wala-Rano,upv,Papunesia,-15.98389,167.38444,Austronesian,,False,Malekula
Redstone,Red Stone,tasi1237,,,Papunesia,-16.799317,168.3885,Austronesian,,False,Epi
Saabaiebarrier,Sa: Baie Barrier,saaa1241,,,Papunesia,-15.929283,168.271117,Austronesian,,False,Pentecost
Sabunlap,Sa: Bunlap,saaa1241,,,Papunesia,-15.9575,168.26889,Austronesian,,False,Pentecost
Safponof,Sa F.: Ponof,,,,,-15.89583,168.27028,,Sa F.:  Ponof,False,Pentecost
Safrangusuksu,Sa F.: Rangusuksu,saaa1241,,,Papunesia,-15.900750,168.185000,Austronesian,,False,Pentecost
Safyangtus,Sa F.: Yangtus,,,,,-15.90306,168.26944,,Sa F.:  Yantus,False,Pentecost
Sageneral,Sa: ‘General’,,,,,-15.90611,168.18694,,Sa:  ‘General’,False,Pentecost
Sahaa,Sa: Haa,,,,,-16.00111,168.21056,,Sa:  Haa,False,Pentecost
Sakao,Sakao,port1296,Sakao,,Papunesia,-15.041602,167.068592,Austronesian,,False,Santo
Salangdixonreef,Salang: DixonReef,katb1237,Avava,tmb,Papunesia,-16.26833,167.4339,Austronesian,,False,Malekula
Salondar,Sa: Londar,saaa1241,,,Papunesia,-15.995167,168.198483,Austronesian,,False,Pentecost
Sapaangi,Sa: Paangi,saaa1241,,,,-15.94611,168.19444,Austronesian,,False,Pentecost
Sapointcross,Sa: Pointcross,saaa1241,,,Papunesia,-16.008567,168.229950,Austronesian,,False,Pentecost
Sara,Sara,,,,Papunesia,-16.805817,168.200283,Austronesian,,False,Epi
Saranwas,Sa: Ranwas,saaa1241,,,Papunesia,-15.968650,168.265183,Austronesian,,False,Pentecost
Sasthenri,Sa: St. Henri,saaa1241,,,Papunesia,-15.884467,168.269100,Austronesian,,False,Pentecost
Sawanur,Sa: Wanur,saaa1241,,,Papunesia,-15.884467,168.269100,Austronesian,,False,Pentecost
Sbiribiri,S: Biribiri,amba1270,Ambae,nnd,,-15.46989,167.82893,Austronesian,Ambae:  South:  Biribiri,False,Ambae
Sivitinjavgonwar,Siviti (Njav): Gonwar,,,,,-15.97988,167.2362,,,False,Malekula
Sivitinjavjericho,Siviti (Njav): Jericho,nort3230,,,Papunesia,-15.97,167.28,Austronesian,,False,Malekula
Sivitinjavtanmililib,Siviti (Njav): Tanmililib,,,,,-15.973,167.234,,Siviti (Njav): Tanmililib  (speaker 1),False,Malekula
Sivitinjavtanmililib2,Siviti (Njav): Tanmililib 2,nort3230,,,Papunesia,-15.97,167.24,Austronesian,,False,Malekula
Sivitinjavwomol,Siviti (Njav): Womol,,,,,-15.97389,167.23509,,,False,Malekula
Slolovele,S: Lolovele,amba1270,Ambae,nnd,,-15.44771,167.869802,Austronesian,Ambae:  South:  Lolovele,False,Ambae
Sragaavavanvae,S: Raga: Avavanvae,maew1234,Maewo,btr,,-15.34347,168.127388,Austronesian,Maewo:  South:  Raga:  Avavanvae,False,Maewo
Ssakao,S: Sakao,amba1270,Ambae,nnd,,-15.42439,167.894062,Austronesian,Ambae:  South:  Sakao,False,Ambae
Ssungagageasanvari,S: Sungagage: Asanvari,maew1234,Maewo,btr,,-15.37944,168.128889,Austronesian,Maewo:  South:  Sungagage:  Asanvari,False,Maewo
Ssungagageavanbatai,S: Sungagage: Avanbatai,maew1234,Maewo,btr,,-15.38639,168.146667,Austronesian,Maewo:  South:  Sungagage:  Avanbatai,False,Maewo
Ssungagageavavanvae,S: Sungagage: Avavanvae,maew1234,Maewo,btr,,-15.34347,168.127388,Austronesian,Maewo:  South:  Sungagage:  Avavanvae,False,Maewo
Surubonamaram,Suru Bo: Namaram,apma1240,,,Papunesia,-15.734533,168.137017,Austronesian,,False,Pentecost
Surubotanbok,Suru Bo: Tanbok,apma1240,,,Papunesia,-15.669200,168.186367,Austronesian,,False,Pentecost
Surumweraninaruwa,Suru Mwerani: Naruwa,suru1259,,,Papunesia,-15.687283,168.175650,Austronesian,,False,Pentecost
Surumweranivanransini,Suru Mwerani: Vanransini,,,,Papunesia,-15.728633,168.222517,Austronesian,,False,Pentecost
Sururabwangaenaa,Suru Rabwanga: Enaa,,,,Papunesia,-15.672596,168.1539274,Austronesian,,False,Pentecost
Sxalangibaetora,S: Xalangi: Baetora,maew1234,Maewo,btr,,-15.25972,168.116944,Austronesian,Maewo:  South:  Xalangi:  Baetora,False,Maewo
Taolia,Taolia,tasi1237,,,Papunesia,-16.812167,168.406783,Austronesian,,False,Epi
Tapemaraxusmae,Tape (Maraxus): Mae,mara1399,Maragus,mrs,Papunesia,-16.10139,167.26806,Austronesian,,False,Malekula
Tapetautu1,Tape: Tautu 1,mara1399,Maragus,mrs,Papunesia,-16.08389,167.2833,Austronesian,Tape: Tautu  (speaker 1),False,Malekula
Tasikojowomiapika,Tasiko: Jowo Miapika,tasi1237,,,Papunesia,-16.794,168.374150,Austronesian,,,Epi
Tasmate,Tasmate,tasm1246,Tasmate,tmt,Papunesia,-15.211738,166.660412,Austronesian,,False,Santo
Tekelele,Tekelele,tasi1237,,,Papunesia,-16.780967,168.420067,Austronesian,,False,Epi
Tesmbolmelaklak,Tesmbol: Melaklak,,,,,-16.28444,167.6666,,,False,Malekula
Tesmbolusus,Tesmbol: Usus,,,,,-16.28644,167.6646,,,False,Malekula
TialeSauriki,Tiale: Sauriki,tial1239,Tiale,mnl,Papunesia,-15.435493,166.704161,Austronesian,,False,Santo
Tiraxbakru,Tirax: Bakru,maee1241,Tirax,mme,Papunesia,-16.00354,167.29696,Austronesian,,False,Malekula
Tiraxbethel,Tirax: Bethel,maee1241,Tirax,mme,Papunesia,-16.03923,167.40186,Austronesian,,False,Malekula
Tiraxbotmelesnial,Tirax: Botmelesnial,maee1241,Tirax,mme,Papunesia,-16.0583,167.369,Austronesian,,False,Malekula
Tiraxmae,Tirax: Mae,maee1241,Tirax,mme,Papunesia,-16.05839,167.36953,Austronesian,,False,Malekula
Tiraxolamb,Tirax: Olamb,maee1241,Tirax,mme,Papunesia,-15.98701,167.26154,Austronesian,,False,Malekula
Tiraxorap,Tirax: Orap,maee1241,Tirax,mme,Papunesia,-15.97,167.34464,Austronesian,,False,Malekula
TolomakoPortOlry,Tolomako: Port Olry,tolo1255,Tolomako,tlm,Papunesia,-15.046862,167.072817,Austronesian,,False,Santo
Tutuba,Tutuba,tutu1241,Tutuba,tmi,Papunesia,-15.58,167.27,Austronesian,,False,Santo
Uliveolurtes,Uliveo: Lurtes,mask1242,Maskelynes,klv,Papunesia,-16.53072,167.83389,Austronesian,,False,Malekula
Uliveopelongk,Uliveo: Pelongk,mask1242,Maskelynes,klv,Papunesia,-16.51917,167.83139,Austronesian,,False,Malekula
Uliveopeskaros,Uliveo: Peskaros,mask1242,Maskelynes,klv,Papunesia,-16.51917,167.83139,Austronesian,Uliveo: Peskaros  (speaker 1),False,Malekula
Uliveopeskaros2,Uliveo: Peskaros 2,mask1242,Maskelynes,klv,Papunesia,-16.52542,167.82515,Austronesian,Uliveo: Peskaros  (speaker 2),False,Malekula
Unuabenuamor,Unua: Benuamor,unua1237,Unua,onu,Papunesia,-16.2346,167.60636,Austronesian,,False,Malekula
Unuambatumbo,Unua: Mbatumbo,unua1237,Unua,onu,Papunesia,-16.23361,167.6011,Austronesian,,False,Malekula
Unuanoferai,Unua: Noferai,unua1237,Unua,onu,Papunesia,-16.23333,167.60139,Austronesian,,False,Malekula
Uripivdurpif,Uripiv: Durpif,urip1240,Uripiv,upv,Papunesia,-16.07265,167.447,Austronesian,,False,Malekula
Uripivpotnambe,Uripiv: Potnambe,urip1240,Uripiv,upv,Papunesia,-16.07391,167.45203,Austronesian,,False,Malekula
Uripivtautu,Uripiv: Tautu,urip1240,,,Papunesia,-16.07,167.40,Austronesian,,False,Malekula
Uripivtautuvillage,Uripiv: Tautu Village,urip1240,,upv,,-16.06661,167.3975,,,False,Malekula
Vaobeetehul,Vao: Beetehul,vaoo1237,Vao,vao,Papunesia,-15.89728,167.30443,Austronesian,,False,Malekula
Vaocanada,Vao: Canada,vaoo1237,Vao,vao,Papunesia,-15.89978,167.30731,Austronesian,,False,Malekula
