ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Variant_Of
Bislama2-68_egg-1,48700000007-381-0,Bislama2,68_egg,hɛk,hɛk,h ɛ k,,Shimelman2019,,false,
Bislama2-69_tail-1,48700000007-383-0,Bislama2,69_tail,tɛl,tɛl,t ɛ l,,Shimelman2019,,false,
Bislama2-70_wing-1,48700000007-384-0,Bislama2,70_wing,wɪn,wɪn,w ɪ n,,Shimelman2019,,false,
Bislama2-71_feather-1,48700000007-385-0,Bislama2,71_feather,fɛta,fɛta,f ɛ t a,,Shimelman2019,,false,
Bislama2-72_man-1,48700000007-402-0,Bislama2,72_man,man,man,m a n,,Shimelman2019,,false,
Bislama2-73_woman-1,48700000007-403-0,Bislama2,73_woman,wɔman,wɔman,w ɔ m a n,,Shimelman2019,,false,
Bislama2-74_child-1,48700000007-405-0,Bislama2,74_child,pɪkinini,pɪkinini,p ɪ k i n i n i,,Shimelman2019,,false,
Bislama2-75_name-1,48700000007-410-0,Bislama2,75_name,nɛm,nɛm,n ɛ m,,Shimelman2019,,false,
Bislama2-76_mother-1,48700000007-431-0,Bislama2,76_mother,mama,mama,m a m a,,Shimelman2019,,false,
Bislama2-77_father-1,48700000007-432-0,Bislama2,77_father,papa,papa,p a p a,,Shimelman2019,,false,
Bislama2-78_husband-1,48700000007-435-0,Bislama2,78_husband,asbɛn,asbɛn,a s b ɛ n,,Shimelman2019,,false,
Bislama2-79_wife-1,48700000007-436-0,Bislama2,79_wife,waif,waif,w a i f,,Shimelman2019,,false,
Bislama2-80_day-1,48700000007-501-0,Bislama2,80_day,de,de,d e,,Shimelman2019,,false,
Bislama2-81_night-1,48700000007-502-0,Bislama2,81_night,nait,nait,n a i t,,Shimelman2019,,false,
Bislama2-82_moon-1,48700000007-512-0,Bislama2,82_moon,mun,mun,m u n,,Shimelman2019,,false,
Bislama2-83_star-1,48700000007-513-0,Bislama2,83_star,sta,sta,s t a,,Shimelman2019,,false,
Bislama2-84_sky-1,48700000007-515-0,Bislama2,84_sky,skai,skai,s k a i,,Shimelman2019,,false,
Bislama2-85_water-1,48700000007-521-0,Bislama2,85_water,wɔta,wɔta,w ɔ t a,,Shimelman2019,,false,
Bislama2-86_lake-1,48700000007-523-0,Bislama2,86_lake,lɛk,lɛk,l ɛ k,,Shimelman2019,,false,
Bislama2-87_sea-1,48700000007-524-0,Bislama2,87_sea,solwɔta,solwɔta,s o lw ɔ t a,,Shimelman2019,,false,
Bislama2-88_fire-1,48700000007-541-0,Bislama2,88_fire,faia,faia,f a i a,,Shimelman2019,,false,
Bislama2-89_smoke-1,48700000007-542-0,Bislama2,89_smoke,smɔk,smɔk,s m ɔ k,,Shimelman2019,,false,
Bislama2-90_ash-1,48700000007-543-0,Bislama2,90_ash,asis,asis,a s i s,,Shimelman2019,,false,
Bislama2-91_stone-1,48700000007-551-0,Bislama2,91_stone,ston,ston,s t o n,,Shimelman2019,,false,
Bislama2-92_earthsoil-1,48700000007-552-0,Bislama2,92_earthsoil,kraon,kraon,k r a o n,,Shimelman2019,,false,
Bislama2-93_dust-1,48700000007-553-0,Bislama2,93_dust,tas,tas,t a s,,Shimelman2019,,false,
Bislama2-94_sand-1,48700000007-554-0,Bislama2,94_sand,sanbiʧ,sanbiʧ,s a n b i ʧ,,Shimelman2019,,false,
Bislama2-95_rain-1,48700000007-581-0,Bislama2,95_rain,rɛn,rɛn,r ɛ n,,Shimelman2019,,false,
Bislama2-96_cloud-1,48700000007-584-0,Bislama2,96_cloud,klaot,klaot,k l a o t,,Shimelman2019,,false,
Bislama2-97_wind-1,48700000007-585-0,Bislama2,97_wind,wɪn,wɪn,w ɪ n,,Shimelman2019,,false,
Bislama2-98_thunder-1,48700000007-592-0,Bislama2,98_thunder,tanda,tanda,t a n d a,,Shimelman2019,,false,
Bislama2-99_lightning-1,48700000007-593-0,Bislama2,99_lightning,laitniŋ,laitniŋ,l a i t n i ŋ,,Shimelman2019,,false,
Bislama2-100_meatflesh-1,48700000007-603-0,Bislama2,100_meatflesh,mit,mit,m i t,,Shimelman2019,,false,
Bislama2-101_fruit-1,48700000007-609-0,Bislama2,101_fruit,frut,frut,f r u t,,Shimelman2019,,false,
Bislama2-102_woodsforest-1,48700000007-622-0,Bislama2,102_woodsforest,dakbus,dakbus,d a k b u s,,Shimelman2019,,false,
Bislama2-103_root-1,48700000007-624-0,Bislama2,103_root,rus,rus,r u s,,Shimelman2019,,false,
Bislama2-104_branch-1,48700000007-625-0,Bislama2,104_branch,branʧ,branʧ,b r a n ʧ,,Shimelman2019,,false,
Bislama2-105_leaf-1,48700000007-626-0,Bislama2,105_leaf,lif,lif,l i f,,Shimelman2019,,false,
Bislama2-106_wood-1,48700000007-628-0,Bislama2,106_wood,wudᵗ,wudᵗ,w u dᵗ,,Shimelman2019,,false,
Bislama2-107_grass-1,48700000007-631-0,Bislama2,107_grass,kras,kras,k r a s,,Shimelman2019,,false,
Bislama2-108_flower-1,48700000007-632-0,Bislama2,108_flower,flawa,flawa,f l a w a,,Shimelman2019,,false,
Bislama2-109_thatchroof-1,48700000007-633-0,Bislama2,109_thatchroof,ruf,ruf,r u f,,Shimelman2019,,false,
Bislama2-110_house-1,48700000007-651-0,Bislama2,110_house,haos,haos,h a o s,,Shimelman2019,,false,
Bislama2-111_rope-1,48700000007-662-0,Bislama2,111_rope,rop,rop,r o p,,Shimelman2019,,false,
Bislama2-112_roadpath-1,48700000007-681-0,Bislama2,112_roadpath,rot,rot,r o t,,Shimelman2019,,false,
Bislama2-113_black-1,48700000007-701-0,Bislama2,113_black,blak,blak,b l a k,,Shimelman2019,,false,
Bislama2-114_white-1,48700000007-702-0,Bislama2,114_white,wait,wait,w a i t,,Shimelman2019,,false,
Bislama2-115_red-1,48700000007-703-0,Bislama2,115_red,rɛd,rɛd,r ɛ d,,Shimelman2019,,false,
Bislama2-116_green-1,48700000007-704-0,Bislama2,116_green,grin,grin,g r i n,,Shimelman2019,,false,
Bislama2-117_yellow-1,48700000007-705-0,Bislama2,117_yellow,yalo,yalo,y a l o,,Shimelman2019,,false,
Bislama2-118_big-1,48700000007-711-0,Bislama2,118_big,bɪgk,bɪgk,b ɪ g k,,Shimelman2019,,false,
Bislama2-119_small-1,48700000007-717-0,Bislama2,119_small,smɔl,smɔl,s m ɔ l,,Shimelman2019,,false,
Bislama2-120_sharp-1,48700000007-741-0,Bislama2,120_sharp,sap,sap,s a p,,Shimelman2019,,false,
Bislama2-121_bluntdull-1,48700000007-742-0,Bislama2,121_bluntdull,no sap,no sap,n o + s a p,,Shimelman2019,,false,
Bislama2-122_shyashamed-1,48700000007-749-0,Bislama2,122_shyashamed,sɛm,sɛm,s ɛ m,,Shimelman2019,,false,
Bislama2-123_old-1,48700000007-752-0,Bislama2,123_old,olfala,olfala,o l f a l a,,Shimelman2019,,false,
Bislama2-124_painfulsick-1,48700000007-763-0,Bislama2,124_painfulsick,sɪk,sɪk,s ɪ k,,Shimelman2019,,false,
Bislama2-125_good-1,48700000007-771-0,Bislama2,125_good,gʊd,gʊd,g ʊ d,,Shimelman2019,,false,
Bislama2-126_bad-1,48700000007-772-0,Bislama2,126_bad,bat,bat,b a t,,Shimelman2019,,false,
Bislama2-127_correcttrue-1,48700000007-773-0,Bislama2,127_correcttrue,strɛt,strɛt,s t r ɛ t,,Shimelman2019,,false,
Bislama2-128_dirty-1,48700000007-777-0,Bislama2,128_dirty,dɔti,dɔti,d ɔ t i,,Shimelman2019,,false,
Bislama2-129_rotten-1,48700000007-780-0,Bislama2,129_rotten,rɔtɛn,rɔtɛn,r ɔ t ɛ n,,Shimelman2019,,false,
Bislama2-130_heavy-1,48700000007-786-0,Bislama2,130_heavy,hɛvi,hɛvi,h ɛ v i,,Shimelman2019,,false,
Bislama2-131_far-1,48700000007-788-0,Bislama2,131_far,lɔŋwɛ,lɔŋwɛ,l ɔ ŋw ɛ,,Shimelman2019,,false,
Bislama2-132_near-1,48700000007-789-0,Bislama2,132_near,kolosap,kolosap,k o l o s a p,,Shimelman2019,,false,
Bislama2-133_cold-1,48700000007-792-0,Bislama2,133_cold,kolkol,kolkol,k o l k o l,,Shimelman2019,,false,
Bislama2-134_dry-1,48700000007-793-0,Bislama2,134_dry,drai,drai,d r a i,,Shimelman2019,,false,
Bislama2-135_wet-1,48700000007-794-0,Bislama2,135_wet,wɛtwɛt,wɛtwɛt,w ɛ tw ɛ t,,Shimelman2019,,false,
Bislama2-136_new-1,48700000007-798-0,Bislama2,136_new,niu,niu,n i u,,Shimelman2019,,false,
Bislama2-137_other-1,48700000007-799-0,Bislama2,137_other,narawan,narawan,n a r a w a n,,Shimelman2019,,false,
Bislama2-138_come-1,48700000007-802-0,Bislama2,138_come,kam,kam,k a m,,Shimelman2019,,false,
Bislama2-139_walk-1,48700000007-803-0,Bislama2,139_walk,wɔkabɔt,wɔkabɔt,w ɔ k a b ɔ t,,Shimelman2019,,false,
Bislama2-140_stand-1,48700000007-811-0,Bislama2,140_stand,stanap,stanap,s t a n a p,,Shimelman2019,,false,
Bislama2-141_sit-1,48700000007-812-0,Bislama2,141_sit,sɪdaon,sɪdaon,s ɪ d a o n,,Shimelman2019,,false,
Bislama2-142_fall-1,48700000007-813-0,Bislama2,142_fall,fɔldən,fɔldən,f ɔ l d ə n,,Shimelman2019,,false,
Bislama2-143_liedown-1,48700000007-814-0,Bislama2,143_liedown,ledɔn,ledɔn,l e d ɔ n,,Shimelman2019,,false,
Bislama2-144_turn-1,48700000007-815-0,Bislama2,144_turn,tanɛm,tanɛm,t a n ɛ m,,Shimelman2019,,false,
Bislama2-145_climb-1,48700000007-818-0,Bislama2,145_climb,klaɛm,klaɛm,k l a ɛ m,,Shimelman2019,,false,
Bislama2-146_swim-1,48700000007-821-0,Bislama2,146_swim,suɪm,suɪm,s u ɪ m,,Shimelman2019,,false,
Bislama2-147_flyverb-1,48700000007-822-0,Bislama2,147_flyverb,flai,flai,f l a i,,Shimelman2019,,false,
Bislama2-148_throw-1,48700000007-826-0,Bislama2,148_throw,sakɛmaot,sakɛmaot,s a k ɛ m a o t,,Shimelman2019,,false,
Bislama2-149_hide-1,48700000007-827-0,Bislama2,149_hide,haitɛm,haitɛm,h a i t ɛ m,,Shimelman2019,,false,
Bislama2-150_eat-1,48700000007-831-0,Bislama2,150_eat,kakai,kakai,k a k a i,,Shimelman2019,,false,
Bislama2-151_drink-1,48700000007-832-0,Bislama2,151_drink,drɪŋ,drɪŋ,d r ɪ ŋ,,Shimelman2019,,false,
Bislama2-152_yawn-1,48700000007-836-0,Bislama2,152_yawn,wantɛm slip,wantɛm slip,w a n t ɛ m + s l i p,,Shimelman2019,,false,
Bislama2-153_spit-1,48700000007-837-0,Bislama2,153_spit,spɛt,spɛt,s p ɛ t,,Shimelman2019,,false,
Bislama2-154_dream-1,48700000007-840-0,Bislama2,154_dream,drim,drim,d r i m,,Shimelman2019,,false,
Bislama2-155_sleep-1,48700000007-841-0,Bislama2,155_sleep,sɪlip,sɪlip,s ɪ l i p,,Shimelman2019,,false,
Bislama2-156_live-1,48700000007-842-0,Bislama2,156_live,laɪf,laɪf,l a ɪ f,,Shimelman2019,,false,
Bislama2-157_die-1,48700000007-843-0,Bislama2,157_die,dɛt,dɛt,d ɛ t,,Shimelman2019,,false,
Bislama2-158_kill-1,48700000007-844-0,Bislama2,158_kill,kɪlɪmiⁿdɛt,kɪlɪmiⁿdɛt,k ɪ l ɪ m iⁿ d ɛ t,,Shimelman2019,,false,
Bislama2-159_see-1,48700000007-851-0,Bislama2,159_see,luk,luk,l u k,,Shimelman2019,,false,
Bislama2-160_hear-1,48700000007-852-0,Bislama2,160_hear,harɛm,harɛm,h a r ɛ m,,Shimelman2019,,false,
Bislama2-161_sniffsmell-1,48700000007-854-0,Bislama2,161_sniffsmell,səmɛl,səmɛl,s ə m ɛ l,,Shimelman2019,,false,
Bislama2-162_laugh-1,48700000007-858-0,Bislama2,162_laugh,laf,laf,l a f,,Shimelman2019,,false,
Bislama2-163_cry-1,48700000007-859-0,Bislama2,163_cry,krai,krai,k r a i,,Shimelman2019,,false,
Bislama2-164_blow-1,48700000007-867-0,Bislama2,164_blow,blo,blo,b l o,,Shimelman2019,,false,
Bislama2-165_burn-1,48700000007-868-0,Bislama2,165_burn,bɔn,bɔn,b ɔ n,,Shimelman2019,,false,
Bislama2-166_sew-1,48700000007-874-0,Bislama2,166_sew,somap˺,somap˺,s o m a p˺,,Shimelman2019,,false,
Bislama2-167_pound-1,48700000007-880-0,Bislama2,167_pound,kilkilɪm,kilkilɪm,k i l k i l ɪ m,,Shimelman2019,,false,
Bislama2-168_hit-1,48700000007-881-0,Bislama2,168_hit,kɪlɪm,kɪlɪm,k ɪ l ɪ m,,Shimelman2019,,false,
Bislama2-169_cut-1,48700000007-887-0,Bislama2,169_cut,katɛm,katɛm,k a t ɛ m,,Shimelman2019,,false,
Bislama2-170_split-1,48700000007-888-0,Bislama2,170_split,splɛtɛm,splɛtɛm,s p l ɛ t ɛ m,,Shimelman2019,,false,
Bislama2-171_dig-1,48700000007-889-0,Bislama2,171_dig,dɪgɪm,dɪgɪm,d ɪ g ɪ m,,Shimelman2019,,false,
Bislama2-172_hunt-1,48700000007-892-0,Bislama2,172_hunt,hant,hant,h a n t,,Shimelman2019,,false,
Bislama2-173_hold-1,48700000007-893-0,Bislama2,173_hold,holɛm,holɛm,h o l ɛ m,,Shimelman2019,,false,
Bislama2-175_count-1,48700000007-896-0,Bislama2,175_count,kɔntɛm,kɔntɛm,k ɔ n t ɛ m,,Shimelman2019,,false,
Bislama2-176_breathe-1,48700000007-897-0,Bislama2,176_breathe,pʊlʊm wɪn,pʊlʊm wɪn,p ʊ l ʊ m + w ɪ n,,Shimelman2019,,false,
Bislama2-177_vomit-1,48700000007-900-0,Bislama2,177_vomit,traot,traot,t r a o t,,Shimelman2019,,false,
Bislama2-178_tieup-1,48700000007-901-0,Bislama2,178_tieup,fasɛm,fasɛm,f a s ɛ m,,Shimelman2019,,false,
Bislama2-179_squeeze-1,48700000007-902-0,Bislama2,179_squeeze,swisɪm,swisɪm,sw i s ɪ m,,Shimelman2019,,false,
Bislama2-180_swell-1,48700000007-903-0,Bislama2,180_swell,solap,solap,s o l a p,,Shimelman2019,,false,
Bislama2-181_say-1,48700000007-904-0,Bislama2,181_say,talɛm,talɛm,t a l ɛ m,,Shimelman2019,,false,
Bislama2-182_scratch-1,48700000007-905-0,Bislama2,182_scratch,sikrasɛm,sikrasɛm,s i k r a s ɛ m,,Shimelman2019,,false,
Bislama2-183_stab-1,48700000007-906-0,Bislama2,183_stab,stɪkɪm,stɪkɪm,s t ɪ k ɪ m,,Shimelman2019,,false,
Bislama2-184_buy-1,48700000007-912-0,Bislama2,184_buy,pɛm,pɛm,p ɛ m,,Shimelman2019,,false,
Bislama2-185_steal-1,48700000007-913-0,Bislama2,185_steal,stɪlɪm,stɪlɪm,s t ɪ l ɪ m,,Shimelman2019,,false,
Bislama2-186_plant-1,48700000007-918-0,Bislama2,186_plant,planɛm,planɛm,p l a n ɛ m,,Shimelman2019,,false,
Bislama2-187_cook-1,48700000007-922-0,Bislama2,187_cook,kuk,kuk,k u k,,Shimelman2019,,false,
Bislama2-188_shoot-1,48700000007-940-0,Bislama2,188_shoot,sutʊm,sutʊm,s u t ʊ m,,Shimelman2019,,false,
Bislama2-189_work-1,48700000007-950-0,Bislama2,189_work,wɔk,wɔk,w ɔ k,,Shimelman2019,,false,
Bislama2-190_open-1,48700000007-962-0,Bislama2,190_open,hopɛnɛm,hopɛnɛm,h o p ɛ n ɛ m,,Shimelman2019,,false,
Bislama1-0_one-1,48700000008-1-0,Bislama1,0_one,wan,wan,w a n,,Shimelman2019,,false,
Bislama1-1_two-1,48700000008-2-0,Bislama1,1_two,tu,tu,t u,,Shimelman2019,,false,
Bislama1-2_three-1,48700000008-3-0,Bislama1,2_three,tri,tri,t r i,,Shimelman2019,,false,
Bislama1-3_four-1,48700000008-4-0,Bislama1,3_four,fɔ,fɔ,f ɔ,,Shimelman2019,,false,
Bislama1-4_five-1,48700000008-5-0,Bislama1,4_five,faif,faif,f a i f,,Shimelman2019,,false,
Bislama1-5_six-1,48700000008-6-0,Bislama1,5_six,siks,siks,s i ks,,Shimelman2019,,false,
Bislama1-6_seven-1,48700000008-7-0,Bislama1,6_seven,sɛβɛn,sɛβɛn,s ɛ β ɛ n,,Shimelman2019,,false,
Bislama1-7_eight-1,48700000008-8-0,Bislama1,7_eight,et,et,e t,,Shimelman2019,,false,
Bislama1-8_nine-1,48700000008-9-0,Bislama1,8_nine,nain,nain,n a i n,,Shimelman2019,,false,
Bislama1-9_ten-1,48700000008-10-0,Bislama1,9_ten,tɛn,tɛn,t ɛ n,,Shimelman2019,,false,
Bislama1-10_twenty-1,48700000008-11-0,Bislama1,10_twenty,twɛnti,twɛnti,tw ɛ n t i,,Shimelman2019,,false,
Bislama1-11_fifty-1,48700000008-15-0,Bislama1,11_fifty,fifti,fifti,f i f t i,,Shimelman2019,,false,
Bislama1-12_onehundred-1,48700000008-20-0,Bislama1,12_onehundred,wan həndrɛd,wan həndrɛd,w a n + h ə n d r ɛ d,,Shimelman2019,,false,
Bislama1-13_onethousand-1,48700000008-21-0,Bislama1,13_onethousand,wan θaosɛn,wan θaosɛn,w a n + θ a o s ɛ n,,Shimelman2019,,false,
Bislama1-14_year-1,48700000008-51-0,Bislama1,14_year,ia,ia,i a,,Shimelman2019,,false,
Bislama1-15_right-1,48700000008-81-0,Bislama1,15_right,rait,rait,r a i t,,Shimelman2019,,false,
Bislama1-16_left-1,48700000008-82-0,Bislama1,16_left,lɛfᵗ,lɛfᵗ,l ɛ fᵗ,,Shimelman2019,,false,
Bislama1-17_i-1,48700000008-101-0,Bislama1,17_i,mi,mi,m i,,Shimelman2019,,false,
Bislama1-18_weallexcl-1,48700000008-102-0,Bislama1,18_weallexcl,mifala,mifala,m i f a l a,,Shimelman2019,,false,
Bislama1-19_webothincl-1,48700000008-102-1,Bislama1,19_webothincl,jumitu,jumitu,j u m i t u,,Shimelman2019,,false,
Bislama1-20_webothexcl-1,48700000008-102-2,Bislama1,20_webothexcl,mitufala,mitufala,m i t u f a l a,,Shimelman2019,,false,
Bislama1-21_weallincl-1,48700000008-102-3,Bislama1,21_weallincl,jumi,jumi,j u m i,,Shimelman2019,,false,
Bislama1-22_thou-1,48700000008-104-0,Bislama1,22_thou,ju,ju,j u,,Shimelman2019,,false,
Bislama1-23_youboth-1,48700000008-105-0,Bislama1,23_youboth,jutufala,jutufala,j u t u f a l a,,Shimelman2019,,false,
Bislama1-24_youall-1,48700000008-105-2,Bislama1,24_youall,jufala,jufala,j u f a l a,,Shimelman2019,,false,
Bislama1-25_heshe-1,48700000008-106-0,Bislama1,25_heshe,hɛm,hɛm,h ɛ m,,Shimelman2019,,false,
Bislama1-26_theyall-1,48700000008-107-0,Bislama1,26_theyall,olkɛta,olkɛta,o l k ɛ t a,,Shimelman2019,,false,
