Nahaaimbatmbang,English Translation
ⁿdiles_nɛ-ᵐbʷere,155_dream
ⁿdi-pas,156_sleep
i-meor,157_live
i-mɛs,158_die
ⁿdi-orᵐbʉn_i-mɛs,159_kill
ⁿdi-lɛs,160_see
ⁿdi-ⁿdalroroŋ,161_hear
no-ᵐbʷon,162_sniffsmell
ⁿdi-mæn,163_laugh
ⁿdi-teng,164_cry
i-uphup,165_blow
naam,166_burn
ⁿdi-tur,167_sew
ⁿdi-uras,168_pound
ⁿdi-uras,169_hit
ⁿdi-tiri,170_cut
ⁿdi-tarpor,171_split
ⁿdi-il,172_dig
ⁿdi-sal,173_hunt
ⁿdi-vorvor,174_hold
ⁿdi-mataʔtaʔ,175_fear
ⁿda-ᵐbʷiliŋ,176_count
ⁿdi-ŋaraŋar,177_breathe
ⁿdi-lulu,178_vomit
ⁿdi-vit_ⁿdʳ,179_tieup
ⁿdi-ᵐbus,180_squeeze
i-tim,181_swell
ⁿdi-pe,182_say
ⁿdi-oioi,183_scratch
ⁿdi-tur,184_stab
ⁿdi-pul,185_buy
ⁿdi-vænaʔ,186_steal
ⁿdi-kor,187_plant
ⁿdi-saŋ,188_cook
ⁿdi-vini,189_shoot
ⁿdi-ra,190_work
ⁿdi-sisivæn,191_open
